timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1578491304130,81,Search-1,200,OK,Main 1-10,text,true,,95351,457,17,17,https://www.bing.com:443/?toWww=1&redig=FDA4758DCAD34ED9A4BB9E4E5939F380,79,0,0
1578491303967,379,Search,200,OK,Main 1-6,text,true,,97533,829,17,17,https://www.bing.com:443/?toWww=1&redig=22CE98D4D7D246FCB1008A2E33FBC3EB,209,0,36
1578491303967,209,Search-0,301,,Main 1-6,text,true,,1011,113,17,17,https://bing.com/,209,0,36
1578491304177,149,Search-1,200,OK,Main 1-6,text,true,,95870,276,17,17,https://www.bing.com:443/?toWww=1&redig=22CE98D4D7D246FCB1008A2E33FBC3EB,109,0,32
1578491304328,18,Search-2,200,OK,Main 1-6,bin,true,,652,440,17,17,https://www.bing.com:443/sa/simg/bing_p_rr_teal_min.ico,18,0,0
1578491304165,245,Login,200,OK,Main 1-17,text,true,,97533,829,17,17,https://www.bing.com:443/?toWww=1&redig=9FC2E89003204113AED4DDADA7F969FF,95,0,34
1578491304165,95,Login-0,301,,Main 1-17,text,true,,1011,113,17,17,https://bing.com/,95,0,34
1578491304260,127,Login-1,200,OK,Main 1-17,text,true,,95870,276,17,17,https://www.bing.com:443/?toWww=1&redig=9FC2E89003204113AED4DDADA7F969FF,111,0,34
1578491304389,21,Login-2,200,OK,Main 1-17,bin,true,,652,440,17,17,https://www.bing.com:443/sa/simg/bing_p_rr_teal_min.ico,21,0,0
1578491304367,246,Search,200,OK,Main 1-4,text,true,,97533,829,18,18,https://www.bing.com:443/?toWww=1&redig=4E8FA62472284F0B967A08876BF14460,101,0,39
1578491304367,101,Search-0,301,,Main 1-4,text,true,,1011,113,18,18,https://bing.com/,101,0,39
1578491304468,125,Search-1,200,OK,Main 1-4,text,true,,95870,276,18,18,https://www.bing.com:443/?toWww=1&redig=4E8FA62472284F0B967A08876BF14460,109,0,34
1578491304595,18,Search-2,200,OK,Main 1-4,bin,true,,652,440,18,18,https://www.bing.com:443/sa/simg/bing_p_rr_teal_min.ico,18,0,0
